acronym,definition
CIA,Central Intelligence Agency
FBI,Federal Bureau of Investigation
NATO,North Atlantic Treaty Organization
UN,United Nations
WHO,World Health Organization
NASA,National Aeronautics and Space Administration
ESA,European Space Agency
USA,United States of America
US,United States
EU,European Union
UN,United Nations
UK,United Kingdom
UKIP,United Kingdom Independence Party
NATO,North Atlantic Treaty Organization
GDP,Gross Domestic Product
FBI,Federal Bureau of Investigation
CIA,Central Intelligence Agency
NSA,National Security Agency
KGB,Komitet Gosudarstvennoy Bezopasnosti
